# Generated from ../data/13JUL2013/000.dat
time gyro_x lean_est lean_rate_est steer steer_est steer_rate steer_rate_est v v_c
20 -0.000578188 0 0 0.000628319 0 7.45058e-09 0 0 0
20.005 0.000238295 0 0 0.000628319 0 7.45058e-09 0 0 0
20.01 0.0024288 0 0 0.000628319 0 7.45058e-09 0 0 0
20.015 0.00148425 0 0 0.000628319 0 7.45058e-09 0 0 0
20.02 -0.00134926 0 0 0.000628319 0 7.45058e-09 0 0 0
20.025 -0.000423853 0 0 0.000628319 0 7.45058e-09 0 0 0
20.03 0.0070108 0 0 0.000628319 0 7.45058e-09 0 0 0
20.035 0.00344701 0 0 0.000628319 0 7.45058e-09 0 0 0
20.04 -0.00134447 0 0 0.000628319 0 7.45058e-09 0 0 0
20.045 0.00539048 0 0 0.000628319 0 7.45058e-09 0 0 0
20.05 0.00564684 0 0 0.000628319 0 7.45058e-09 0 0 0
20.055 0.00413378 0 0 0.000628319 0 7.45058e-09 0 0 0
20.06 -0.000537976 0 0 0.000628319 0 7.45058e-09 0 0 0
20.065 0.00389131 0 0 0.000628319 0 7.45058e-09 0 0 0
20.07 0.00540901 0 0 0.000628319 0 7.45058e-09 0 0 0
20.075 0.00323988 0 0 0.000628319 0 7.45058e-09 0 0 0
20.08 0.00975753 0 0 0.000628319 0 7.45058e-09 0 0 0
20.085 0.00233086 0 0 0.000628319 0 7.45058e-09 0 0 0
20.09 0.00132067 0 0 0.000628319 0 7.45058e-09 0 0 0
20.095 0.00168501 0 0 0.000628319 0 7.45058e-09 0 0 0
20.1 0.00399724 0 0 0.000628319 0 7.45058e-09 0 0 0
20.105 0.00471908 0 0 0.000628319 0 7.45058e-09 0 0 0
20.11 0.00470252 0 0 0.000628319 0 7.45058e-09 0 0 0
20.115 0.00477895 0 0 0.000628319 0 7.45058e-09 0 0 0
20.12 0.00529415 0 0 0.000628319 0 7.45058e-09 0 0 0
20.125 0.00744972 0 0 0.000628319 0 7.45058e-09 0 0 0
20.13 0.00609988 0 0 0.000628319 0 7.45058e-09 0 0 0
20.135 0.0058353 0 0 0.000628319 0 7.45058e-09 0 0 0
20.14 0.00782726 0 0 0.000628319 0 7.45058e-09 0 0 0
20.145 0.00509632 0 0 0.000628319 0 7.45058e-09 0 0 0
20.15 0.00763172 0 0 0.000628319 0 7.45058e-09 0 0 0
20.155 0.00486016 0 0 0.000628319 0 7.45058e-09 0 0 0
20.16 0.00186905 0 0 0.000628319 0 7.45058e-09 0 0 0
20.165 0.00324933 0 0 0.000628319 0 7.45058e-09 0 0 0
20.17 0.00740808 0 0 0.000628319 0 7.45058e-09 0 0 0
20.175 0.00303509 0 0 0.000628319 0 7.45058e-09 0 0 0
20.18 0.00711817 0 0 0.000628319 0 7.45058e-09 0 0 0
20.185 0.0106107 0 0 0.000628319 0 7.45058e-09 0 0 0
20.19 0.00770119 0 0 0.000628319 0 7.45058e-09 0 0 0
20.195 0.00431752 0 0 0.000628319 0 7.45058e-09 0 0 0
20.2 0.00564286 0 0 0.000628319 0 7.45058e-09 0 0 0
20.205 0.00737758 0 0 0.000628319 0 7.45058e-09 0 0 0
20.21 0.00942697 0 0 0.000628319 0 7.45058e-09 0 0 0
20.215 0.00767883 0 0 0.000628319 0 7.45058e-09 0 0 0
20.22 0.00444571 0 0 0.000628319 0 7.45058e-09 0 0 0
20.225 0.010832 0 0 0.000628319 0 7.45058e-09 0 0 0
20.23 0.00856882 0 0 0.000628319 0 7.45058e-09 0 0 0
20.235 0.00508425 0 0 0.000628319 0 7.45058e-09 0 0 0
20.24 0.004844 0 0 0.000628319 0 7.45058e-09 0 0 0
20.245 0.00347731 0 0 0.000628319 0 7.45058e-09 0 0 0
20.25 0.00858151 0 0 0.000628319 0 7.45058e-09 0 0 0
20.255 0.00663347 0 0 0.000628319 0 7.45058e-09 0 0 0
20.26 0.00814051 0 0 0.000628319 0 7.45058e-09 0 0 0
20.265 0.00700127 0 0 0.000628319 0 7.45058e-09 0 0 0
20.27 0.00864939 0 0 0.000628319 0 7.45058e-09 0 0 0
20.275 0.00782545 0 0 0.000628319 0 7.45058e-09 0 0 0
20.28 0.00384219 0 0 0.000628319 0 7.45058e-09 0 0 0
20.285 0.00677742 0 0 0.000628319 0 7.45058e-09 0 0 0
20.29 0.0027644 0 0 0.000628319 0 7.45058e-09 0 0 0
20.295 0.00984738 0 0 0.000628319 0 7.45058e-09 0 0 0
20.3 0.00433223 0 0 0.000628319 0 7.45058e-09 0 0 0
20.305 0.00667253 0 0 0.000628319 0 7.45058e-09 0 0 0
20.31 0.00783192 0 0 0.000628319 0 7.45058e-09 0 0 0
20.315 0.00589226 0 0 0.000628319 0 7.45058e-09 0 0 0
20.32 0.00607141 0 0 0.000628319 0 7.45058e-09 0 0 0
20.325 0.0097833 0 0 0.000628319 0 7.45058e-09 0 0 0
20.33 0.00666178 0 0 0.000628319 0 7.45058e-09 0 0 0
20.335 0.00916467 0 0 0.000628319 0 7.45058e-09 0 0 0
20.34 0.00679076 0 0 0.000628319 0 7.45058e-09 0 0 0
20.345 0.00487239 0 0 0.000628319 0 7.45058e-09 0 0 0
20.35 0.0124908 0 0 0.000628319 0 7.45058e-09 0 0 0
20.355 0.0133551 0 0 0.000628319 0 7.45058e-09 0 0 0
20.36 0.00838999 0 0 0.000628319 0 7.45058e-09 0 0 0
20.365 0.00991701 0 0 0.000628319 0 7.45058e-09 0 0 0
20.37 0.0111642 0 0 0.000628319 0 7.45058e-09 0 0 0
20.375 0.0101252 0 0 0.000628319 0 7.45058e-09 0 0 0
20.38 0.00535097 0 0 0.000628319 0 7.45058e-09 0 0 0
20.385 0.00260752 0 0 0.000628319 0 7.45058e-09 0 0 0
20.39 0.00754155 0 0 0.000628319 0 7.45058e-09 0 0 0
20.395 0.0106861 0 0 0.000628319 0 7.45058e-09 0 0 0
20.4 0.00677945 0 0 0.000628319 0 7.45058e-09 0 0 0
20.405 0.0093465 0 0 0.000628319 0 7.45058e-09 0 0 0
20.41 0.00919419 0 0 0.000628319 0 7.45058e-09 0 0 0
20.415 0.0078725 0 0 0.000628319 0 7.45058e-09 0 0 0
20.42 0.00786265 0 0 0.000628319 0 7.45058e-09 0 0 0
20.425 0.00586182 0 0 0.000628319 0 7.45058e-09 0 0 0
20.43 0.00868187 0 0 0.000628319 0 7.45058e-09 0 0 0
20.435 0.009036 0 0 0.000628319 0 7.45058e-09 0 0 0
20.44 0.00649725 0 0 0.000628319 0 7.45058e-09 0 0 0
20.445 0.000804541 0 0 0.000628319 0 7.45058e-09 0 0 0
20.45 0.00857135 0 0 0.000628319 0 7.45058e-09 0 0 0
20.455 0.00757451 0 0 0.000628319 0 7.45058e-09 0 0 0
20.46 0.00714709 0 0 0.000628319 0 7.45058e-09 0 0 0
20.465 0.00656605 0 0 0.000628319 0 7.45058e-09 0 0 0
20.47 0.00456713 0 0 0.000628319 0 7.45058e-09 0 0 0
20.475 0.00490938 0 0 0.000628319 0 7.45058e-09 0 0 0
20.48 0.00330393 0 0 0.000628319 0 7.45058e-09 0 0 0
20.485 0.00519098 0 0 0.000628319 0 7.45058e-09 0 0 0
20.49 0.00407328 0 0 0.000628319 0 7.45058e-09 0 0 0
20.495 0.00578563 0 0 0.000628319 0 7.45058e-09 0 0 0
20.5 0.00623159 0 0 0.000628319 0 7.45058e-09 0 0 0
20.505 0.005475 0 0 0.000628319 0 7.45058e-09 0 0 0
20.51 0.00394355 0 0 0.000628319 0 7.45058e-09 0 0 0
20.515 0.00251705 0 0 0.000628319 0 7.45058e-09 0 0 0
20.52 0.00162881 0 0 0.000628319 0 7.45058e-09 0 0 0
20.525 0.00232103 0 0 0.000628319 0 7.45058e-09 0 0 0
20.53 0.00562143 0 0 0.000628319 0 7.45058e-09 0 0 0
20.535 0.00241246 0 0 0.000628319 0 7.45058e-09 0 0 0
20.54 0.00336855 0 0 0.000628319 0 7.45058e-09 0 0 0
20.545 0.00345313 0 0 0.000628319 0 7.45058e-09 0 0 0
20.55 0.00086273 0 0 0.000628319 0 7.45058e-09 0 0 0
20.555 4.15235e-05 0 0 0.000628319 0 7.45058e-09 0 0 0
20.56 0.0014372 0 0 0.000628319 0 7.45058e-09 0 0 0
20.565 0.000403813 0 0 0.000628319 0 7.45058e-09 0 0 0
20.57 0.00663347 0 0 0.000628319 0 7.45058e-09 0 0 0
20.575 0.00162628 0 0 0.000628319 0 7.45058e-09 0 0 0
20.58 0.00033371 0 0 0.000628319 0 7.45058e-09 0 0 0
20.585 0.00105355 0 0 0.000628319 0 7.45058e-09 0 0 0
20.59 -0.000470859 0 0 0.000628319 0 7.45058e-09 0 0 0
20.595 -0.00224172 0 0 0.000628319 0 7.45058e-09 0 0 0
20.6 0.00061629 0 0 0.000628319 0 7.45058e-09 0 0 0
20.605 -0.00164963 0 0 0.000628319 0 7.45058e-09 0 0 0
20.61 -0.00176473 0 0 0.000628319 0 7.45058e-09 0 0 0
20.615 -0.00126766 0 0 0.000628319 0 7.45058e-09 0 0 0
20.62 0.00153308 0 0 0.000628319 0 7.45058e-09 0 0 0
20.625 0.00348776 0 0 0.000628319 0 7.45058e-09 0 0 0
20.63 -0.0040897 0 0 0.000628319 0 7.45058e-09 0 0 0
20.635 -0.00017204 0 0 0.000628319 0 7.45058e-09 0 0 0
20.64 -0.00173606 0 0 0.000628319 0 7.45058e-09 0 0 0
20.645 -0.00154254 0 0 0.000628319 0 7.45058e-09 0 0 0
